epoch,train_loss,val_loss,train_objective,val_objective,train_consistency,val_consistency,train_eq_violation,val_eq_violation,train_ineq_violation,val_ineq_violation,train_mse_y,val_mse_y,train_mse_lam,val_mse_lam,train_mse_mu,val_mse_mu
1.0,16.209917579074812,14.206984987322107,-0.5975324437341595,-0.5979319575573846,1.6807450022808972,1.4804916944879492,1.6304043086098897e-10,1.920081294480569e-10,0.0,0.0,0.2728599279951386,0.22294732425112113,1.251154154565814,1.1651179377391097,0.1567309197199448,0.09242643249771854
2.0,13.331693178970916,12.318127164221782,-0.5978294321124044,-0.5980622167561405,1.3929522611083323,1.2916189380977923,1.835684412462846e-10,1.7971912924866218e-10,0.0,0.0,0.19986242184698128,0.17214021783559005,1.1232582508980211,1.0806453388611208,0.06983158836332969,0.03883338140108155
3.0,11.615084119988879,11.297603143267267,-0.5980299713730807,-0.598141633425446,1.221311409136196,1.1895744776692714,1.9418391812922603e-10,2.2449686233258493e-10,0.0,0.0,0.1566079562160804,0.1441958698874106,1.0330689986418213,1.0264040352740864,0.03163445427829441,0.01897457250777441
4.0,10.570757497537121,10.707020558610083,-0.5981574235279844,-0.5981992101856731,1.1168914921065105,1.1305219768795756,1.8599482726547325e-10,2.179354583950466e-10,0.0,0.0,0.13373363858127335,0.13000471957397344,0.9641778577839389,0.9862907369305444,0.018979995741298206,0.01422652037505786
5.0,9.832694595431818,10.255068837027311,-0.5982472845407131,-0.5982512069599317,1.043094187997253,1.0853320043987242,2.0404221909298143e-10,2.038464843971688e-10,0.0,0.0,0.12145149278590983,0.12202580252828804,0.9049575180362597,0.9493028433161111,0.016685177175083683,0.014003358554325055
6.0,9.176600004003982,9.774454828566117,-0.5983208444636107,-0.5983020681348674,0.9774920848467592,1.0372756896700985,1.9809608715545825e-10,2.0272507396737472e-10,0.0,0.0,0.11290942462790539,0.11597558575293583,0.8480858217852104,0.9079880082379435,0.016496838433643444,0.013312095679219135
7.0,8.499605784895916,9.192668242656511,-0.5983861553039168,-0.5983547353376518,0.9097991940199833,0.9791022977994164,1.9040728511249273e-10,2.0137629445915462e-10,0.0,0.0,0.1053263474880548,0.1099747641966264,0.7891406335585058,0.8576708673641287,0.015332212973422507,0.011456666238661312
8.0,7.778032390287939,8.485854453282203,-0.598448014559321,-0.5984143042977221,0.8376480404847261,0.9084268757579924,1.806955776152697e-10,1.9933167659871853e-10,0.0,0.0,0.09789995014588931,0.10304599086991705,0.7261540424369728,0.7958791430343574,0.013594047901863974,0.009501741853717948
9.0,7.008045854257626,7.65041251806449,-0.5985121261638728,-0.59848501281765,0.7606557980421499,0.824889753088214,1.8225451462253186e-10,1.965385608600212e-10,0.0,0.0,0.09015715947816301,0.09481921844360948,0.6583525958436036,0.7218787022274297,0.01214604272038324,0.008191832417174855
10.0,6.18549100089197,6.697561033481383,-0.5985829071246517,-0.5985674775690489,0.6784073908016621,0.7296128511050433,1.8126804059506731e-10,1.9366470675394323e-10,0.0,0.0,0.08184201799395648,0.08538332779086515,0.5853795538388779,0.6366656045878181,0.011185818968827817,0.007563918726360085
11.0,5.310157977773727,5.652652827534189,-0.5986613896258332,-0.5986592751208369,0.590881936739956,0.6251312102655027,1.7925247350683574e-10,1.910140849312181e-10,0.0,0.0,0.07288338004211785,0.07500135292152633,0.5074488216098384,0.5428590648623249,0.01054973508799973,0.00727079248165139
12.0,4.392796730319242,4.556589794888694,-0.598745643487504,-0.5987563035726385,0.49915423738067455,0.5155346098461333,1.8070672699530003e-10,1.8813375649018307e-10,0.0,0.0,0.06338426051434802,0.0640696534895738,0.4257431665443714,0.4444360861703229,0.010026810321955121,0.007028870186236657
13.0,3.4597954719383766,3.4637387985261974,-0.5988317102075567,-0.5988529720551481,0.40586271821459335,0.4062591770581345,1.8216346408736486e-10,1.994424796321337e-10,0.0,0.0,0.05367353821585186,0.05307914852502067,0.3426763648039344,0.346415934027132,0.009512815194807116,0.006764094505981869
14.0,2.552562142428277,2.4373428702968516,-0.5989140246498005,-0.5989420658802325,0.3151476167078078,0.30362849361770833,1.8006857512020694e-10,1.9665569112384263e-10,0.0,0.0,0.044216855766496706,0.04260639403658453,0.2619342417624681,0.25451546864259006,0.008996519178842958,0.006506630938533752
15.0,1.7243646682598461,1.543317661420816,-0.5989859278138614,-0.5990157227823089,0.23233505960737075,0.21423333842031247,1.8387537622718832e-10,1.9256899842085007e-10,0.0,0.0,0.03556444739101298,0.033314931423169,0.1882744125338153,0.174643822782347,0.00849619968254248,0.006274584214796485
16.0,1.0320603827920984,0.8388840701992826,-0.5990412257656974,-0.599068046240134,0.1631101608557796,0.14379521164394166,1.7967507006527717e-10,2.1250408776402054e-10,0.0,0.0,0.02828266355252886,0.02578890335289954,0.1268072898109652,0.11195423790421244,0.008020207492285518,0.006052070386829685
17.0,0.5193496633742166,0.3549314475870555,-0.599076997137545,-0.5990984592721711,0.11184266605117617,0.09540299068592266,1.7704960018904983e-10,2.0854283334925673e-10,0.0,0.0,0.022743431398515004,0.020263492103227296,0.08152299207855146,0.06930557815757327,0.00757624257410971,0.00583392042512209
18.0,0.19634410720720208,0.07816564582923918,-0.5990960452705931,-0.5991132615206813,0.07954401524777951,0.06772789073499205,1.69177302167256e-10,1.5695507844804004e-10,0.0,0.0,0.018897444962381,0.0164608806688927,0.05346519610025864,0.045634064126659074,0.007181374185139866,0.005632945939440276
19.0,0.029676170422629544,-0.049434808516640616,-0.5991061843546808,-0.5991225094703722,0.06287823547773104,0.054968770095373154,1.4744724427528946e-10,1.8347315038774738e-10,0.0,0.0,0.016265431977648744,0.013745934125375156,0.039772720445125566,0.035767654583663606,0.006840083054956728,0.005455181386334391
20.0,-0.04285773936427249,-0.10170931576218205,-0.5991154640189807,-0.5991333339654407,0.05562577246547084,0.04974240182032586,1.3859249692327326e-10,1.1681311794589645e-10,0.0,0.0,0.014248200874967337,0.011571690355732245,0.034841425335404456,0.03287881038288342,0.006536146255099039,0.005291901081710199
21.0,-0.07951085390241248,-0.13083053601350714,-0.5991271359925797,-0.5991461647402812,0.05196162820901672,0.0468315628726774,1.2460450626167186e-10,1.4289004259329663e-10,0.0,0.0,0.012505882255423468,0.009778795400332201,0.03320730955667979,0.031921751409338985,0.006248436396913461,0.00513101606300622
22.0,-0.11107064443430587,-0.15555102906784413,-0.5991393296386448,-0.5991574767575872,0.048806868520433894,0.04436064476897431,1.487491994335566e-10,1.2947156844897445e-10,0.0,0.0,0.0110320586286548,0.008455947869585326,0.03180846493111473,0.03093642491826054,0.005966344960664372,0.004968271981128446
23.0,-0.14300138424911987,-0.17588419219386517,-0.5991488930956628,-0.5991646225524982,0.04561475088465428,0.04232804303586331,1.498887228917889e-10,1.2214326095688623e-10,0.0,0.0,0.009927439179856756,0.0076438448183730945,0.029996205768431074,0.02987721822192564,0.005691105936366465,0.004806979995564572
24.0,-0.17125957702595646,-0.1897661488349594,-0.5991546130826176,-0.5991676616920971,0.04278950360566612,0.04094015128571377,1.4240662534609204e-10,1.1890180099186077e-10,0.0,0.0,0.009194975999089902,0.00723239142931731,0.028167030314524194,0.029054955049243287,0.005427497292052024,0.004652804807153177
25.0,-0.1935008187841316,-0.19869682623482243,-0.5991574023523752,-0.5991682384534092,0.04056565835682435,0.04004714122185867,1.4647905154444032e-10,1.1752796687247713e-10,0.0,0.0,0.00872532925977762,0.007043786879094688,0.026661898820995573,0.02849289148633183,0.005178430276051165,0.0045104628564321516
26.0,-0.21092611518163018,-0.20590891766641778,-0.5991588298351784,-0.5991679862202579,0.03882327146535483,0.039325906855384014,1.5214849154870925e-10,1.1652340880380364e-10,0.0,0.0,0.008387146750076397,0.006934042272692848,0.025491157855781744,0.028010194324666938,0.004944966859496691,0.004381670258024234
27.0,-0.22585920472397591,-0.21365820320620907,-0.5991599797063822,-0.5991678140636105,0.037330077498240626,0.038550961085740146,1.4000085290719057e-10,1.1553468320935069e-10,0.0,0.0,0.00809483328384246,0.006828776408696115,0.02450813329088924,0.027457831111107608,0.004727110923508928,0.00426435356593642
